Bus Stop Number,Latitude Position,Longitude Position,Bus Stop Name
10009,1.282101559,103.8172248,Bt Merah Int
10011,1.277738059,103.8374971,Opp New Bridge Rd Ter
10017,1.278320466,103.8376257,Aft Hosp Dr
10018,1.279008197,103.8386036,Bef Outram Rd
10021,1.277448379,103.8383889,Blk 3
10039,1.277347768,103.83637,Bef Hosp Dr
10041,1.276058348,103.8351907,Aft Blair Rd
10049,1.276233024,103.8348379,Aft Jln Bt Merah
10051,1.277411635,103.8321441,Blk 149
10059,1.277396642,103.8327518,Opp Blk 149
10061,1.278604722,103.8294864,Blk 140
10069,1.278554722,103.8300825,Opp Blk 140
10071,1.280453094,103.8263892,Blk 111
10079,1.280395014,103.8270891,Blk 201
10081,1.282278354,103.8224174,Opp Blk 120
10089,1.282923322,103.8216566,Blk 119
10091,1.283941086,103.8178396,Bt Merah Town Ctr
10099,1.284209239,103.8176572,Opp Bt Merah Town Ctr
10101,1.285025681,103.8137437,SPRING S'pore Bldg
10109,1.285314032,103.8136554,Opp SPRING S'pore Bldg
10111,1.285928351,103.8093541,Opp Blk 28
10119,1.28598009,103.8112252,Opp Pacific Tech Ctr
10121,1.282661112,103.8289411,Blk 126 CP
10129,1.28232,103.8285719,Blk 121
10131,1.286191414,103.8068655,Opp Blk 2
10139,1.286351354,103.8081,Blk 1
10141,1.285838471,103.8323818,Blk 18
10149,1.286067975,103.8328338,Blk 1
10151,1.285720484,103.8285292,Ctrl Green Condo
10161,1.285931354,103.8266897,Opp Tiong Bahru Plaza
10169,1.285999614,103.8274812,Tiong Bahru Plaza
10171,1.28736808,103.82346,Henderson Pk
10179,1.287223333,103.8239583,Tiong Bahru Pk
10181,1.288487711,103.8209448,Bef Al-Rabitah Mque
10189,1.288588052,103.8218319,Blk 104A CP
10191,1.28860026,103.8190312,Blk 78
10199,1.288757233,103.8193662,Delta Swim Cplx
10201,1.289281445,103.8166285,Opp Redhill Stn
10209,1.289546317,103.8167289,Redhill Stn
