Asparagus,Fresh Vegetables,1.5
Broccoli,Fresh Vegetables,0.23
Carrots,Fresh Vegetables,4.5
Cauliflower,Fresh Vegetables,3.47
Celery,Fresh Vegetables,1.47
Corn,Fresh Vegetables,1.23
Cucumbers,Fresh Vegetables,3.41
Lettuce / Greens,Fresh Vegetables,0.97
Mushrooms,Fresh Vegetables,3.63
Onions,Fresh Vegetables,4.06
Peppers,Fresh Vegetables,0.49
Potatoes,Fresh Vegetables,4.84
Spinach,Fresh Vegetables,4.29
Squash,Fresh Vegetables,0.7
Zucchini,Fresh Vegetables,4.33
Tomatoes*,Fresh Vegetables,0.24
BBQ sauce,Condiments / Sauces,1.44
Gravy,Condiments / Sauces,2.19
Honey,Condiments / Sauces,1.86
Hot sauce,Condiments / Sauces,2.66
Jam / Jelly / Preserves,Condiments / Sauces,2.69
Ketchup / Mustard,Condiments / Sauces,2.39
Mayonnaise,Condiments / Sauces,0.35
Pasta sauce,Condiments / Sauces,2.35
Relish,Condiments / Sauces,4.72
Salad dressing,Condiments / Sauces,4.38
Salsa,Condiments / Sauces,3.08
Soy sauce,Condiments / Sauces,1.49
Steak sauce,Condiments / Sauces,4.2
Syrup,Condiments / Sauces,1.27
Worcestershire sauce,Condiments / Sauces,0.08
Butter / Margarine,Dairy,3.28
Cottage cheese,Dairy,4.05
Half & half,Dairy,2.36
Milk,Dairy,0.03
Sour cream,Dairy,3.2
Whipped cream,Dairy,2.36
Yogurt,Dairy,0.29
Bagels / Croissants,Baked goods,2.21
Buns / Rolls,Baked goods,0.47
Cake / Cookies,Baked goods,2.81
Donuts / Pastries,Baked goods,2.74
Fresh bread,Baked goods,0.98
Pie! Pie! Pie!,Baked goods,3.49
Pita bread,Baked goods,4.81
Sliced bread,Baked goods,1.17
Antiperspirant / Deodorant,Personal care,2.94
Bath soap / Hand soap,Personal care,0.55
Condoms / Other b.c.,Personal care,2.42
Cosmetics,Personal care,3.61
Cotton swabs / Balls,Personal care,4.02
Facial cleanser,Personal care,3.56
Facial tissue,Personal care,2.94
Feminine products,Personal care,1.51
Floss,Personal care,2.61
Hair gel / Spray,Personal care,4.57
Lip balm,Personal care,4.97
Moisturizing lotion,Personal care,1.37
Mouthwash,Personal care,3.33
Razors / Shaving cream,Personal care,3.03
Shampoo / Conditioner,Personal care,2.07
Sunblock,Personal care,0.06
Toilet paper,Personal care,0.63
Toothpaste,Personal care,2.26
Vitamins / Supplements,Personal care,4.35
Air freshener,Cleaning Products,3.76
Bathroom cleaner,Cleaning Products,3.92
Bleach / Detergent,Cleaning Products,3.04
Dish / Dishwasher soap,Cleaning Products,0.28
Garbage bags,Cleaning Products,1.54
Glass cleaner,Cleaning Products,4.53
Mop head / Vacuum bags,Cleaning Products,0.93
Sponges / Scrubbers,Cleaning Products,1.54
Apples,Fresh fruits,2.42
Avocados,Fresh fruits,3.79
Bananas,Fresh fruits,0.05
Berries,Fresh fruits,1.68
Cherries,Fresh fruits,0.88
Grapefruit,Fresh fruits,0.68
Grapes,Fresh fruits,1.33
Kiwis,Fresh fruits,4.42
Lemons / Limes,Fresh fruits,0.89
Melon,Fresh fruits,2.11
Nectarines,Fresh fruits,4
Oranges,Fresh fruits,3.45
Peaches,Fresh fruits,3.03
Pears,Fresh fruits,2.4
Plums,Fresh fruits,0.42
Bagels,Refrigerated items,0.64
Chip dip,Refrigerated items,1.61
Eggs / Fake eggs,Refrigerated items,3.77
English muffins,Refrigerated items,2.66
Fruit juice,Refrigerated items,2.15
Hummus,Refrigerated items,4.73
Ready-bake breads,Refrigerated items,1.22
Tofu,Refrigerated items,2.84
Tortillas,Refrigerated items,0.35
Breakfasts,Frozen,2.13
Burritos,Frozen,1.42
Fish sticks,Frozen,2.9
Fries / Tater tots,Frozen,1.19
Ice cream / Sorbet,Frozen,3.32
Juice concentrate,Frozen,3.72
Pizza,Frozen,3.73
Pizza Rolls,Frozen,3.99
Popsicles,Frozen,2.71
TV dinners,Frozen,0.22
Vegetables,Frozen,1.33
